ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
520677993,2022-11-21T07:28:53.034000,2022-11-21T09:44:22.853000,sell,0.21,0.21,XAUUSD,1744.858,1737.961,1748.158,1738.258,0,0,144.84,,,tp
518727646,2022-11-18T00:32:21.746000,2022-11-18T08:18:51.176000,buy,0.23,0.23,XAUUSD,1762.293,1762.342,1762.342,1768.293,0,0,1.13,,,sl
509432318,2022-11-11T08:45:49.570000,2022-11-14T05:36:52.736000,buy,0.22,0.22,AUDUSD,0.66653,0.66653,0.66653,0.67293,0,0,0,,,sl
504723321,2022-11-09T13:16:13.944000,2022-11-09T15:09:46.835000,sell,0.28,0.28,EURUSD,1.00329,1.00573,1.00573,0.99829,0,0,-68.32,,,sl
495591185,2022-11-04T09:37:27.642000,2022-11-04T09:45:37.613000,buy,0.19,0.19,XAUUSD,1650.04,1646.34,1646.34,1657.44,0,0,-70.3,,,sl
493192781,2022-11-03T10:36:53.941000,2022-11-03T14:04:16.560000,sell,0.52,0.52,EURJPY,144.499,144.091,144.699,144.091,0,0,143.57,,,tp
466973386,2022-10-26T06:10:01.674000,2022-10-26T07:47:48.781000,buy,0.23,0.23,AUDUSD,0.64163,0.64702,0.63943,0.64702,0,0,123.97,,,tp
454508674,2022-10-19T09:31:24.643000,2022-10-19T11:09:00.624000,sell,0.42,0.42,EURUSD,0.98121,0.9775,0.98241,0.97683,0,0,155.82,,,user
453577557,2022-10-19T03:56:48.433000,2022-10-19T06:19:48.672000,sell,0.9,0.9,EURJPY,146.882,146.962,146.962,146.722,0,0,-48.21,,,sl
448543679,2022-10-14T15:35:34.621000,2022-10-17T03:58:13.429000,sell,0.21,0.21,AUDJPY,92.342,92.692,92.692,91.604,0,0,-49.45,,,sl
443346822,2022-10-12T10:17:15.744000,2022-10-12T12:30:16.634000,buy,0.44,0.44,USDJPY,146.406,146.746,146.236,146.746,0,0,101.94,,,tp
435319550,2022-10-07T11:08:30.449000,2022-10-07T12:29:30.242000,sell,0.41,0.41,EURCAD,1.34349,1.34514,1.34514,1.34009,0,0,-49.3,,,sl
434132311,2022-10-06T16:00:35.237000,2022-10-06T23:29:16.311000,sell,0.24,0.24,AUDJPY,92.895,92.99,93.195,92.584,0,0,-15.73,,,user
432861995,2022-10-06T06:59:57.172000,2022-10-06T11:18:04.573000,sell,0.49,0.49,AUDCAD,0.88532,0.88376,0.88453,0.8829,0,0,55.94,,,user
430912184,2022-10-05T10:23:03.459000,2022-10-05T13:06:46.726000,sell,0.5,0.5,CADJPY,106.227,106.19,106.19,106.016,0,0,12.81,,,sl
427415860,2022-10-04T06:31:15.188000,2022-10-04T08:26:48.272000,sell,0.26,0.26,USDCAD,1.35884,1.36144,1.36144,1.35358,0,0,-49.65,,,sl
427013471,2022-10-04T02:28:51.082000,2022-10-04T03:01:20.242000,buy,0.38,0.38,USDCAD,1.36453,1.36273,1.36273,1.37053,0,0,-50.19,,,sl
425110981,2022-10-03T08:31:15.563000,2022-10-03T13:03:46.519000,buy,0.33,0.33,NZDJPY,82.055,82.351,81.835,82.351,0,0,67.4,,,tp
422984439,2022-09-30T14:01:00.035000,2022-09-30T15:22:46.588000,buy,0.15,0.15,EURUSD,0.97765,0.98147,0.97772,0.98262,0,0,57.3,,,user
419945904,2022-09-29T10:22:10.402000,2022-09-29T10:54:42.297000,buy,0.35,0.35,USDCHF,0.98155,0.98015,0.98015,0.98435,0,0,-49.99,,,sl
419501108,2022-09-29T07:31:50.148000,2022-09-29T08:41:42.403000,sell,0.4,0.4,NZDJPY,81.851,82.031,82.031,81.171,0,0,-49.76,,,sl
417807030,2022-09-28T14:00:42.310000,2022-09-28T14:50:06.097000,buy,0.45,0.45,AUDNZD,1.13924,1.14319,1.13724,1.14319,0,0,100.76,,,tp
413942937,2022-09-27T08:09:12.614000,2022-09-27T14:23:55.153000,buy,0.15,0.15,USDCAD,1.36825,1.37015,1.36355,1.37822,0,0,20.8,,,user
413392401,2022-09-27T03:12:21.678000,2022-09-27T05:44:30.580000,buy,0.23,0.23,USDCAD,1.37074,1.36772,1.36772,1.37942,0,0,-50.79,,,sl
399708852,2022-09-21T12:04:45.379000,2022-09-21T13:43:08.360000,buy,0.56,0.56,AUDCAD,0.89272,0.89152,0.89152,0.89438,0,0,-50.22,,,sl
396650107,2022-09-20T12:16:27.163000,2022-09-20T15:42:20.543000,sell,0.19,0.19,GBPCHF,1.10303,1.099,1.10281,1.09684,0,0,79.44,,,user
393928070,2022-09-19T14:51:06.558000,2022-09-19T23:45:56.539000,buy,0.36,0.36,GBPJPY,163.526,163.837,163.229,164.279,0,0,78.14,,,user
388115549,2022-09-16T10:27:23.818000,2022-09-16T17:59:45.185000,buy,0.21,0.21,GBPAUD,1.70464,1.7009400000000001,1.7009400000000001,1.71261,0,0,-52.01,,,sl
383392374,2022-09-15T05:44:58.078000,2022-09-15T06:52:05.372000,buy,0.28,0.28,EURNZD,1.66099,1.6579899999999999,1.6579899999999999,1.66808,0,0,-50.45,,,sl
380673078,2022-09-14T11:52:43.244000,2022-09-14T12:44:28.444000,buy,0.21,0.21,EURJPY,143.336,142.986,142.986,,0,0,-51.4,,,sl
375851057,2022-09-13T07:29:19.347000,2022-09-13T12:30:22.773000,sell,0.16,0.16,USDCHF,0.95005,0.95305,0.95305,0.93886,0,0,-50.36,,,sl
373176707,2022-09-12T06:24:00.424000,2022-09-12T18:59:49.963000,buy,0.33,0.33,NZDCAD,0.79617,0.79621,0.79621,0.80552,0,0,1.02,,,sl
370661386,2022-09-09T09:37:27.911000,2022-09-09T10:00:54.858000,buy,0.2,0.2,GBPJPY,165.273,164.923,164.923,166.233,0,0,-49.32,,,sl
349370499,2022-08-31T07:49:28.764000,2022-08-31T11:23:38.081000,sell,0.27,0.27,AUDCAD,0.90058,0.899,0.90258,0.89692,0,0,32.55,,,user
